Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
0.52875,18.96,b1100,1.0575,0.52,b1100
0.53125,18.96,b1100,1.0625,0.52,b1100
0.53375,18.89,b1100,1.0675,0.7,b1100
0.53625,19.24,b1100,1.0725,0.35,b1100
0.53875,19.24,b1100,1.0775,0.7,b1100
0.54125,18.89,b1100,1.0825,0.52,b1100
0.54375,18.82,b1100,1.0875,0.7,b1100
0.54625,18.47,b1100,1.0925,0.7,b1100
0.54875,18.75,b1100,1.0975,0.7,b1100
0.55125,18.75,b1100,1.1025,0.78,b1100
0.55375,18.82,b1100,1.1075,0.35,b1100
0.55625,18.33,b1100,1.1125,0.7,b1100
0.55875,18.75,b1100,1.1175,0.7,b1100
0.56125,18.75,b1100,1.1225,0.78,b1100
0.56375,18.75,b1100,1.1275,0.78,b1100
0.56625,18.47,b1100,1.1325,0.87,b1100
0.56875,18.47,b1100,1.1375,1.05,b1100
0.57125,18.47,b1100,1.1425,0.87,b1100
0.57375,18.47,b1100,1.1475,0.7,b1100
0.57625,18.68,b1100,1.1525,0.35,b1100
0.57875,18.75,b1100,1.1575,0.96,b1100
0.58125,18.82,b1100,1.1625,0.61,b1100
0.58375,18.68,b1100,1.1675,0.87,b1100
0.58625,18.82,b1100,1.1725,0.7,b1100
0.58875,18.75,b1100,1.1775,0.87,b1100
0.59125,18.61,b1100,1.1825,0.7,b1100
0.59375,18.68,b1100,1.1875,0.87,b1100
0.59625,18.82,b1100,1.1925,0.7,b1100
0.59875,18.54,b1100,1.1975,0.78,b1100
0.60125,18.68,b1100,1.2025,0.87,b1100
0.60375,18.75,b1100,1.2075,0.87,b1100
0.60625,18.4,b1100,1.2125,1.22,b1100
0.60875,18.68,b1100,1.2175,1.05,b1100
0.61125,18.82,b1100,1.2225,1.13,b1100
0.61375,18.82,b1100,1.2275,1.05,b1100
0.61625,18.61,b1100,1.2325,0.87,b1100
0.61875,18.82,b1100,1.2375,0.78,b1100
0.62125,18.61,b1100,1.2425,0.78,b1100
0.62375,18.33,b1100,1.2475,0.87,b1100
